"svm, x; LogisticRegression, x; neural networks, x; GradientBoostingClassifier, x","svm, y","LogisticRegression, y","neural networks, y","GradientBoostingClassifier, y"
"88","1.92857142857","2.07142857143","12.5714285714","92.2142857143"
"74","47.0714285714","92.0","89.8571428571","93.2142857143"
"60","46.2857142857","92.0","87.5","92.7857142857"
"45","55.0714285714","91.5714285714","93.0714285714","93.2142857143"
"33","64.2142857143","89.9285714286","93.2142857143","93.2857142857"
"20","70.4285714286","81.6428571429","92.2857142857","91.5714285714"
"18","69.9285714286","79.8571428571","93.3571428571","91.0"
"11","73.2857142857","71.5714285714","91.7142857143","87.6428571429"
"10","72.7142857143","64.2857142857","92.0","87.9285714286"
"7","72.2857142857","43.6428571429","90.7857142857","88.2857142857"
"7","72.2857142857","43.6428571429","89.3571428571","88.3571428571"
"7","72.2857142857","43.5","91.1428571429","88.2857142857"
"6","67.5","39.5","84.5714285714","86.8571428571"
